i, x, y_cpp, y_a, y_b, y_c, diff_ab, diff_ac, diff_bc
  99,      1.57284653,      1.51787901,      1.51787901,      1.51787901,      1.51787901, 0, 0, 0, 
 100,      1.70484734,      1.70934200,      1.70934200,      1.70934200,      1.70934200, 0, 0, 0, 
 101,      1.88488030,      1.85405755,      1.85405767,      1.85405767,      1.85405767, 0, 0, 0, 
 102,      2.04079771,      1.91338444,      1.91338444,      1.91338444,      1.91338444, 0, 0, 0, 
 103,      1.80021334,      1.89584970,      1.89584970,      1.89584982,      1.89584982, 1, 1, 0, 
 104,      1.92414296,      1.85704041,      1.85704052,      1.85704041,      1.85704041, 1, 1, 0, 
 105,      1.78767443,      1.79905057,      1.79905057,      1.79905057,      1.79905057, 0, 0, 0, 
 106,      1.77543974,      1.68609560,      1.68609560,      1.68609571,      1.68609571, 1, 1, 0, 
 107,      1.46021879,      1.52907395,      1.52907395,      1.52907407,      1.52907407, 1, 1, 0, 
 108,      1.40917611,      1.34709060,      1.34709072,      1.34709072,      1.34709072, 0, 0, 0, 
 109,      1.17773473,      1.11980629,      1.11980629,      1.11980629,      1.11980629, 0, 0, 0, 
 110,      0.77113986,      0.87410486,      0.87410486,      0.87410486,      0.87410486, 0, 0, 0, 
 111,      0.66900986,      0.66773957,      0.66773957,      0.66773957,      0.66773957, 0, 0, 0, 
 112,      0.56268424,      0.47376573,      0.47376573,      0.47376573,      0.47376573, 0, 0, 0, 
 113,      0.15674233,      0.29306707,      0.29306707,      0.29306707,      0.29306707, 0, 0, 0, 
 114,      0.12999761,      0.18650252,      0.18650252,      0.18650252,      0.18650252, 0, 0, 0, 
 115,      0.30888164,      0.09004319,      0.09004319,      0.09004319,      0.09004319, 0, 0, 0, 
 116,     -0.22112572,     -0.05335562,     -0.05335562,     -0.05335562,     -0.05335562, 0, 0, 0, 
 117,     -0.20482862,     -0.15073648,     -0.15073648,     -0.15073647,     -0.15073647, 1, 1, 0, 
 118,     -0.07314527,     -0.18997073,     -0.18997073,     -0.18997073,     -0.18997073, 0, 0, 0, 
 119,     -0.31460947,     -0.22935461,     -0.22935461,     -0.22935461,     -0.22935461, 0, 0, 0, 
 120,     -0.30178207,     -0.21855694,     -0.21855694,     -0.21855694,     -0.21855694, 0, 0, 0, 
 121,     -0.07747883,     -0.12552615,     -0.12552615,     -0.12552613,     -0.12552613, 1, 1, 0, 
 122,     -0.04472029,      0.00503243,      0.00503243,      0.00503243,      0.00503243, 0, 0, 0, 
 123,      0.15707383,      0.14966398,      0.14966398,      0.14966397,      0.14966397, 1, 1, 0, 
 124,      0.33224267,      0.29391444,      0.29391444,      0.29391444,      0.29391444, 0, 0, 0, 
 125,      0.37956992,      0.42566749,      0.42566749,      0.42566752,      0.42566752, 1, 1, 0, 
 126,      0.60732037,      0.54819256,      0.54819256,      0.54819250,      0.54819250, 1, 1, 0, 
 127,      0.61793470,      0.66014814,      0.66014814,      0.66014820,      0.66014820, 1, 1, 0, 
 128,      0.80489737,      0.77648556,      0.77648556,      0.77648556,      0.77648556, 0, 0, 0, 
 129,      0.82632208,      0.92027217,      0.92027217,      0.92027217,      0.92027217, 0, 0, 0, 
