i, x, y_cpp, y_a, y_b, y_c, diff_ab, diff_ac, diff_bc
 116,     -0.22112632,     -0.05335578,     -0.05335578,     -0.05335578,     -0.05335578, 0, 0, 0, 
 117,     -0.20482898,     -0.15073670,     -0.15073670,     -0.15073670,     -0.15073670, 0, 0, 0, 
 118,     -0.07314527,     -0.18997081,     -0.18997081,     -0.18997081,     -0.18997081, 0, 0, 0, 
 119,     -0.31460923,     -0.22935461,     -0.22935461,     -0.22935461,     -0.22935461, 0, 0, 0, 
 120,     -0.30178207,     -0.21855703,     -0.21855703,     -0.21855703,     -0.21855703, 0, 0, 0, 
 121,     -0.07747978,     -0.12552612,     -0.12552612,     -0.12552613,     -0.12552613, 1, 1, 0, 
 122,     -0.04471886,      0.00503268,      0.00503268,      0.00503268,      0.00503268, 0, 0, 0, 
 123,      0.15707365,      0.14966416,      0.14966416,      0.14966416,      0.14966416, 0, 0, 0, 
 124,      0.33224261,      0.29391435,      0.29391435,      0.29391432,      0.29391432, 1, 1, 0, 
 125,      0.37956956,      0.42566717,      0.42566717,      0.42566717,      0.42566717, 0, 0, 0, 
 126,      0.60731983,      0.54819214,      0.54819214,      0.54819214,      0.54819214, 0, 0, 0, 
 127,      0.61793399,      0.66014808,      0.66014808,      0.66014808,      0.66014808, 0, 0, 0, 
 128,      0.80489844,      0.77648598,      0.77648598,      0.77648592,      0.77648592, 1, 1, 0, 
 129,      0.82632273,      0.92027277,      0.92027265,      0.92027271,      0.92027271, 1, 1, 0, 
 130,      1.21003783,      1.04916990,      1.04916990,      1.04916990,      1.04916990, 0, 0, 0, 
 131,      1.08874798,      1.10441148,      1.10441148,      1.10441160,      1.10441160, 1, 1, 0, 
 132,      1.06130981,      1.12879467,      1.12879467,      1.12879467,      1.12879467, 0, 0, 0, 
 133,      1.22638392,      1.19818521,      1.19818521,      1.19818521,      1.19818521, 0, 0, 0, 
 134,      1.22229099,      1.29718733,      1.29718733,      1.29718733,      1.29718733, 0, 0, 0, 
 135,      1.58950710,      1.30566847,      1.30566847,      1.30566859,      1.30566859, 1, 1, 0, 
 136,      1.09637761,      1.15814936,      1.15814936,      1.15814924,      1.15814924, 1, 1, 0, 
 137,      0.85259509,      0.98212880,      0.98212880,      0.98212886,      0.98212886, 1, 1, 0, 
 138,      0.96142316,      0.87645715,      0.87645715,      0.87645715,      0.87645715, 0, 0, 0, 
 139,      0.77778077,      0.76799947,      0.76799947,      0.76799941,      0.76799941, 1, 1, 0, 
 140,      0.63689423,      0.60311478,      0.60311478,      0.60311472,      0.60311472, 1, 1, 0, 
 141,      0.37544197,      0.41103202,      0.41103202,      0.41103205,      0.41103205, 1, 1, 0, 
 142,      0.25415665,      0.21500199,      0.21500199,      0.21500200,      0.21500200, 1, 1, 0, 
 143,     -0.01812342,      0.02569570,      0.02569570,      0.02569570,      0.02569570, 0, 0, 0, 
 144,     -0.15107647,     -0.12924460,     -0.12924460,     -0.12924460,     -0.12924460, 0, 0, 0, 
 145,     -0.26789105,     -0.23379190,     -0.23379190,     -0.23379192,     -0.23379192, 1, 1, 0, 
 146,     -0.27155352,     -0.31043431,     -0.31043431,     -0.31043434,     -0.31043434, 1, 1, 0, 
 147,     -0.42468095,     -0.37576145,     -0.37576145,     -0.37576145,     -0.37576145, 0, 0, 0, 
 148,     -0.41626364,     -0.42703012,     -0.42703012,     -0.42703012,     -0.42703012, 0, 0, 0, 
 149,     -0.44493759,     -0.47226590,     -0.47226590,     -0.47226590,     -0.47226590, 0, 0, 0, 
 150,     -0.58487236,     -0.49574947,     -0.49574947,     -0.49574950,     -0.49574950, 1, 1, 0, 
 151,     -0.45740378,     -0.48851365,     -0.48851365,     -0.48851368,     -0.48851368, 1, 1, 0, 
 152,     -0.39712864,     -0.50627184,     -0.50627184,     -0.50627184,     -0.50627184, 0, 0, 0, 
 153,     -0.69885468,     -0.54143608,     -0.54143608,     -0.54143608,     -0.54143608, 0, 0, 0, 
 154,     -0.50767177,     -0.49523097,     -0.49523097,     -0.49523097,     -0.49523097, 0, 0, 0, 
 155,     -0.39324364,     -0.34075937,     -0.34075937,     -0.34075937,     -0.34075937, 0, 0, 0, 
 156,     -0.11214292,     -0.14291599,     -0.14291599,     -0.14291601,     -0.14291601, 1, 1, 0, 
 157,      0.08542538,      0.03735359,      0.03735359,      0.03735359,      0.03735359, 0, 0, 0, 
 158,      0.12514630,      0.20726353,      0.20726353,      0.20726353,      0.20726353, 0, 0, 0, 
 159,      0.42633533,      0.38730198,      0.38730198,      0.38730198,      0.38730198, 0, 0, 0, 
 160,      0.63043880,      0.51430011,      0.51430011,      0.51430011,      0.51430011, 0, 0, 0, 
 161,      0.53105402,      0.55284506,      0.55284506,      0.55284506,      0.55284506, 0, 0, 0, 
 162,      0.49146509,      0.59954965,      0.59954965,      0.59954965,      0.59954965, 0, 0, 0, 
 163,      0.74524575,      0.70492816,      0.70492816,      0.70492822,      0.70492822, 1, 1, 0, 
 164,      0.90836644,      0.77050424,      0.77050424,      0.77050424,      0.77050424, 0, 0, 0, 
 165,      0.67699647,      0.74366146,      0.74366146,      0.74366146,      0.74366146, 0, 0, 0, 
